url,average_position,url_count,weight,weighted_position
https://wygodnyrower.pl/serwis/serwis-rowerowy-warszawa/,1,100,1,1
https://3gravity.pl/pl/,2.04,100,1,2.04
https://www.centrumrowerowe.pl/sklep-rowerowy-warszawa/,3.08,100,1,3.08
https://skleprowerowy.pl/,4.16,100,1,4.16
https://warszawa.naszemiasto.pl/serwisy-rowerowe-w-warszawie-lista-warsztatow-gdzie-mozna-naprawic-rower-lub-zrobic-jego-przeglad/ar/c15p1-21631935,5.69,100,1,5.69
https://sklep-naszosie.pl/,6.36,100,1,6.36
https://beatbike.pl/,6.61,100,1,6.61
https://sportset.pl/,8.24,100,1,8.24
https://wygodnyrower.pl/aktualnosci/%F0%9F%91%8Bnowy-sklep-i-serwis-wygodnyrower-bielany/,8.76767676767677,99,0.99,8.8562
https://www.rowerywarszawa.pl/,10.34,100,1,10.34
https://www.decathlon.pl/serwis-rowerowy-warszawa_lp-2FZRI2,11.01,100,1,11.01
https://sprint-rowery.pl/serwis-rowerowy-warszawa,11.99,100,1,11.99
https://www.bybikes.pl/pl/c/SERWIS/38,13.25,100,1,13.25
https://sklep-naszosie.pl/serwis-rowerowy-warszawa/,14.08,100,1,14.08
https://antymateria.com/sklep-i-serwis-rowerowy-zdziechowskiego/,16.16,100,1,16.16
https://kross.eu/pl/sklepy-i-serwisy-rowerowe-warszawa-mazowieckie,18.29,100,1,18.29
https://trirent.pl/245-serwis-rowerowy-warszawa-mokotow,19.05,100,1,19.05
https://mobilnyserwisrowerow.pl/,19.61,100,1,19.61
https://bike-project.pl/serwis-rowerowy-Bemowo,19.68,100,1,19.68
https://alltheway.pl/content/52-serwis-rowerowy-warszawa,20.58,100,1,20.58
https://travelbike.pl/,21.36,100,1,21.36
https://marceli.waw.pl/,23.31,100,1,23.31
https://ramasport.pl/serwis-rowerowy,23.59,100,1,23.59
https://www.vuelta.waw.pl/,23.64,100,1,23.64
https://cykle.com.pl/serwis-rowerowy-warszawa/,23.96,100,1,23.96
https://justbike.pl/,26.08,100,1,26.08
https://marceli.waw.pl/sklep-i-serwis-rowerowy-warszawa-goclaw/,29.62,100,1,29.62
https://www.legion-serwis.com.pl/,29.69,100,1,29.69
https://sport-bike.eu/Serwis-Uslugi/Serwis-rowerowy,30.42,100,1,30.42
https://www.bybikes.pl/pl/i/KONTAKT/13,32.23,100,1,32.23
https://www.decathlon.pl/serwis-rowerowy-warszawa-bemowo_lp-VT4BPT,32.33,100,1,32.33
https://serwis-rowerowy-bicycle-store.business.site/,33.09,100,1,33.09
https://www.2kolka.com.pl/serwis.html,29.6781609195402,87,0.87,34.1128
https://www.koozabikes.com/,34.62,100,1,34.62
https://www.bikesalon.pl/serwis-rowerowy-warszawa,35.23,100,1,35.23
https://www.bikesalon.pl/,36.64,100,1,36.64
https://activebike.pl/,37.16,100,1,37.16
https://bike-project.pl/kontakt,17.875,48,0.48,37.2396
https://rowerowyserwis.com/,38.91,100,1,38.91
https://profibike.com.pl/,39.2,100,1,39.2
https://sport-bike.eu/,39.97,100,1,39.97
https://warszawa19115.pl/-/rowerowa-warszawa-miejski-serwis-rowerowy,42.48,100,1,42.48
https://cykle.com.pl/,43.55,100,1,43.55
https://rafbike.pl/,45.02,100,1,45.02
http://www.jrconceptbikes.pl/,46.02,100,1,46.02
https://um.warszawa.pl/waw/rowery/-/mobilny-serwis-rowerowy-bezplatny,46.04,100,1,46.04
http://www.mobilnyserwisrowerowy.com/,46.32,100,1,46.32
https://um.warszawa.pl/waw/rowery/-/mobilny-serwis-rowerowy,47.34,100,1,47.34
https://bike2door.waw.pl/,47.81,100,1,47.81
https://skleprowerowy.pl/content/serwis-rowerowy,49.81,100,1,49.81
https://www.nartyrowery.warszawa.pl/serwis-rowery.php,51.38,100,1,51.38
https://www.facebook.com/serwisoflovers/?locale=pl_PL,53.3636363636364,99,0.99,53.9027
http://www.wawabike.pl/,54.27,100,1,54.27
https://ramasport.pl/,55.1,100,1,55.1
https://www.mobilnyserwisrowerowy.waw.pl/,56.07,100,1,56.07
https://psstrefaoutdoor.pl/warszawa/,57.96,100,1,57.96
https://www.roadbike.pl/,59.46,100,1,59.46
https://www.starofservice.pl/panstwo/mazowieckie/warszawa/warszawa/naprawa-rowerow,59.91,100,1,59.91
https://www.legion-serwis.com.pl/oferta/serwis-rowerowy/,60.67,100,1,60.67
https://www.bikeatelier.pl/content/60-warszawa,61.24,100,1,61.24
http://bikeservice.com.pl/,63.61,100,1,63.61
https://www.achtenrower.pl/,63.74,100,1,63.74
https://rowerybielany.pl/,63.3939393939394,99,0.99,64.0343
https://velogram.pl/,64.75,100,1,64.75
https://www.osmaszprycha.pl/,67.76,100,1,67.76
https://roweroweporady.pl/f/topic/131-dobry-serwis-rowerowy-w-warszawie/,67.1530612244898,98,0.98,68.5235
https://rowerybialoleka.com.pl/,68.78,100,1,68.78
https://kazoora.pl/pl/i/Serwis-rowerowSerwis-amortyzatorow/13,68.7676767676768,99,0.99,69.4623
https://serwis-rowerowy-po-godzinach.business.site/,71.24,100,1,71.24
https://mobilny-serwis-rowerowy.pl/,71.6868686868687,99,0.99,72.411
https://bikerstudio.com.pl/pl/i/Sklep-rowerowy-Bielany/35,72.8787878787879,99,0.99,73.6149
"https://panoramafirm.pl/serwis_rowerowy/mazowieckie,,warszawa,targ%C3%B3wek,chodecka",73.0909090909091,99,0.99,73.8292
"http://www.konaworld.pl/menu,29,serwis_rowerowy",74.6161616161616,99,0.99,75.3699
https://otwartywarsztatrowerowy.pl/,76.989898989899,99,0.99,77.7676
http://www.megastart.pl/,79.4646464646465,99,0.99,80.2673
https://ravserwis.pl/,58.8904109589041,73,0.73,80.6718
https://bike2door.waw.pl/serwis,81.06,100,1,81.06
https://mowianamiescie.pl/artykuly/3156-warszawo-gdzie-naprawic-rower-10-najlepszych-serwisow,79.9693877551021,98,0.98,81.6014
https://warszawa.naszemiasto.pl/przeglad-i-naprawa-rowerow-za-darmo-w-warszawie-w-stolicy/ar/c1-9454401,83.44,100,1,83.44
https://sportset.pl/serwis-rowerowy/mobilny-serwis-rowerowy,39.4893617021277,47,0.47,84.0199
https://www.swiatroweru.com.pl/serwis.php,81.8556701030928,97,0.97,84.3873
https://bike2box.com/mobilny-serwis-rowerowy-warszawa,85.030303030303,99,0.99,85.8892
https://www.olx.pl/uslugi/warszawa/q-serwis-rowerowy/,85.7878787878788,99,0.99,86.6544
https://specializedwarsaw.pl/uslugi/serwis/,87.8080808080808,99,0.99,88.695
"https://www.mediaexpert.pl/lp,serwis-rowerowy",89.1919191919192,99,0.99,90.0928
https://www.shimanoservicecenter.com/pl/sprzedawcy/profesjonalny-serwis-rowerowy-warszawa,91.7979797979798,99,0.99,92.7252
https://nasciezce.pl/,90.9587628865979,97,0.97,93.7719
https://www.t-bike.pl/contact,94.48,100,1,94.48
https://trirent.pl/serwis-rowerowy-warszawa-mokotow/334-serwis-rowerowy-premium.html,69.3943661971831,71,0.71,97.7385
https://fixesbikessklep.wixsite.com/fixesbikes,87.3488372093023,86,0.86,101.5684
http://www.rowery.com.pl/,93.0795454545455,88,0.88,105.7722
https://sklepy.bikeworld.pl/sklepy/wszystkie/wszystkie/WARSZAWA,91.3529411764706,85,0.85,107.474
"https://www.rmf24.pl/regiony/warszawa/news-mobilny-serwis-rowerowy-w-warszawie-tu-za-darmo-zrobisz-prze,nId,7033129",80.0675675675676,74,0.74,108.1994
https://dehnelsport.pl/serwis-rowerowy-warszawa/,95.6705882352941,85,0.85,112.5536
https://lotnyserwis.prv.pl/,95.5853658536585,82,0.82,116.5675
https://propagandarowerowa.com/index.php/serwis/,91.2285714285714,70,0.7,130.3265
https://haloursynow.pl/pl/651_artykuly-sponsorowane/23126_serwis-rowerowy-warszawa-targowek---sklep-rowerowy-sport-bike.html,77.4137931034483,58,0.58,133.4721
https://www.eska.pl/warszawa/darmowy-serwis-rowerowy-dla-mieszkancow-warszawy-przez-caly-tydzien-w-kilku-dzielnicach-21-09-aa-WHbk-Wm2M-7UqL.html,97.0972222222222,72,0.72,134.8573
https://altsport.pl/,72.921568627451,51,0.51,142.9835
https://bike-project.pl/,79.1764705882353,51,0.51,155.248
https://sportset.pl/serwis-rowerowy,84.9811320754717,53,0.53,160.3418
https://www.facebook.com/sasiedzkiserwisrowerowytarchominibialoleka/,53.21875,32,0.32,166.3086
https://veloart.cc/serwis/,92.9803921568628,51,0.51,182.3145
https://wygodnyrower.pl/,4,2,0.02,200
https://www.facebook.com/VueltaSerwisRowerowy/?locale=pl_PL,72.8235294117647,34,0.34,214.1869
https://www.facebook.com/mobilnyserwisrowerowy.warszawa/?locale=pl_PL,75.5454545454546,33,0.33,228.9256
https://skleprowerowy.warszawa.pl/,64.04,25,0.25,256.16
https://trirent.pl/serwis-rowerowy-warszawa-mokotow/30-serwis-rowerowy-basic.html,80.1851851851852,27,0.27,296.9822
"https://www.goldenline.pl/grupy/Sport_i_rekreacja/rowerem-po-warszawie-i-okolicach/h-e-l-p-dobry-i-w-miare-tani-serwis-rowerowy-w-warszawie,1132118/",97.1428571428571,28,0.28,346.9388
https://www.wektorrowery.pl/,95,16,0.16,593.75
https://www.pkt.pl/szukaj/serwis-rowerowy/warszawa-dzielnica-praga-po%C5%82udnie,87.7692307692308,13,0.13,675.1479
http://www.wawabike.pl/strony/serwis_rowerowy.html,97.0769230769231,13,0.13,746.7456
http://serwiskrecisie.pl/,97.9166666666667,12,0.12,815.9722
http://www.rowery.com.pl/serwis-rowerowy/,90.8181818181818,11,0.11,825.6198
